Text,Product_Name,Price_Name,Promotion_Type,Marketplace_Name
"spons beauty dengan tekstur lembut ini dijual dengan harga rp 15.000, promo beli 2 gratis 1.",spons,rp 15.000,,
"eyeshadow dengan harga rp 50.000, diskon 10% untuk pembelian selama weekend.",eyeshadow,rp 50.000,diskon 10%,
ayam goreng crispy dengan harga promo rp 35.000 di kfc.,ayam goreng,rp 35.000,,kfc
tempat tidur bayi dengan diskon 25% di shopee.,tempat tidur bayi,,diskon 25%,shopee
stroller dengan harga promo rp 500.000 di baby shop.,stroller,rp 500.000,,baby shop
kemarin saya tiba tiba beli cincin berlian dengan harga rp 10.000.000 di mall,cincin,rp 10.000.000,,mall
anting emas dengan diskon 20% di jd.id jadi hanya 300 ribu,anting,300 ribu,diskon 20%,jd.id
saya beli popok sekali pakai dengan diskon 10% di guardian untuk adik saya,popok,,diskon 10%,guardian
jam tangan pria dengan diskon 10% di mall,jam tangan,,diskon 10%,mall
botol susu dengan harga rp 20.000 per botol di guardian.,botol susu,rp 20.000,,guardian
set perhiasan berlian dengan harga promo rp 25.000.000 di perhiasan eksklusif.,berlian,rp 25.000.000,,perhiasan eksklusif
kereta dorong bayi dengan harga promo rp 300.000 di blibli.,kereta dorong,rp 300.000,,blibli
cincin emas dengan diskon 10% di shopee.,cincin,,diskon 10%,
saya beli mobil baru seharga 150 juta,mobil,150 juta,,
mainan kucing dengan diskon 15% di jd.id murah hanya 40k,mainan kucing,40k,diskon 15%,jd.id
pengen beli speaker bluetooth dengan harga promo rp 500.000 di tokopedia,speaker bluetooth,rp 500.000,,tokopedia
makanan bayi dengan diskon 15% di toko,makanan bayi,,diskon 15%,toko
"krim mata untuk mengurangi kerutan ini dijual dengan harga rp 60.000, diskon 20% untuk anggota member.",krim mata,rp 60.000,,
"pewarna kuku dalam berbagai warna ini dijual dengan harga rp 15.000 per botol, promo beli 3 gratis 1.",pewarna kuku,rp 15.000,,
gaming console dengan harga promo rp 4.000.000 di tokopedia,console,rp 4.000,,tokopedia
earphone dengan potongan harga 15% di jd.id.,earphone,,potongan harga 15%,jd.id
air purifier dengan diskon 10% di shopee jadi hanya 80ribu,air purifier,,diskon 10%,shopee
smartwatch dengan harga promo rp 1.000.000 di tiktok shop,smartwatch,rp 1.000.000,,tiktok shop
kacamata dengan harga promo rp 100.000 di watsons.,kacamata,rp 100.000,,watsons
alat pengukur suhu tubuh dengan potongan harga 15% di matahari ,alat pengukur suhu,,potongan harga 15%,matahari
saya ingin beli motor yang harganya dibawah 20 juta,motor,20 juta,,
sepeda lipat dengan harga promo rp 1.000.000 di tokopedia.,sepeda,rp 1.000.000,,tokopedia
saya kemarin beli mie gacoan di shopeefood hanya 35 ribu,mie,35 ribu,,shopeefood
saya sedang memikirkan ayam goreng spesial yang dijual dengan harga promo rp 25.000 di shopeefood apakah sebaiknya saya membelinya?,ayam goreng,rp 25.000,,shopeefood
saya sedang memikirkan nasi goreng spesial yang dijual dengan harga promo rp 25.000 di gojek. apakah sebaiknya saya membelinya?,nasi goreng,rp 25.000,,gojek
"ada paket tur ke pulau komodo dengan harga promo, hanya 3 juta untuk satu orang. sebaiknya saya ikut tur tersebut atau mencari opsi lain?",paket tur,3 juta,,
mobil sedan dengan harga rp 200.000.000 di dealer mobil a.,mobil sedan,rp 200.000,,dealer mobil 
saya ingin membeli mesin cuci dengan harga rp 3.000.000 di tokopedia,mesin cuci,rp 3.000.000,,tokopedia
motor sport dengan diskon 10% di dealer motor b.,motor sport,,diskon 10%,dealer motor 
"liat tetangga beli sepeda baru jadi pengen, tapi cuma ada uang 3 juta",sepeda,3 juta,,
beli tablet di shopee apakah worth it? ada diskon 30% jadi 9 juta aja,tablet,,diskon 30%,shopee
mobil suv dengan potongan harga 15% di dealer mobil x.,mobil suv,,potongan harga 15%,dealer mobil
pengen beli concealer karena lg ada diskon 25% di tiktok shop ,concealer,,diskon 25%,tiktok shop
lip balm dengan aroma buah-buahan ini dijual dengan harga rp 20.000 dan diskon 30% karena grand opening.,lip balm,rp 20.000,,
"pelembab wajah dengan spf 30 ini dijual dengan harga rp 90.000, dapat diskon 50% dari harga awal.",pelembab,rp 90.000,diskon 50%,
"scrub wajah yang lembut ini dijual seharga rp 45.000, diskon 10% untuk pembelian selama jam kerja.",scrub,rp 45.000,,
anak udah mau gede jadi butuh beli stroller tapi cuma ada budget 1 juta,stroller,1 juta,,
tengah malem laper banget jadi pengen beli kopi,kopi,,,
pegel pegel abis wfo seharian lgsg beli koyo merah di watson dan dapet diskon 10% jadi cuma 15 ribu,koyo merah,15 ribu,,watson
saya beli anting berlian dengan harga promo rp 3.000.000 di jd.id.,anting,rp 3.000.000,,jd.id
gelang emas dengan potongan harga 20% di butik perhiasan y.,gelang,,potongan harga 20%,butik
apakah sebaiknya saya membeli baju baru untuk acara pernikahan yang akan datang?,baju,,,
mau beli susu bayi dengan harga rp 150.000 di shopee,susu ,rp 150.000,,shopee
baju hamil dengan potongan harga 15% di matahari department store.,baju hamil,,potongan harga 15%,matahari
perlengkapan makan bayi dengan harga promo rp 50.000 di tokopedia,perlengkapan makan,rp 50.000,,tokopedia
carseat bayi dengan diskon 25% di shopee.,carseat,,diskon 25%,shopee
"kemarin nyium orang pake parfum enak banget dan barusan nemu di mall yang sama wanginya, harganya 150k beli ga ya?",parfum,150k,,mall
"shampoo untuk rambut kering ini dijual dengan harga rp 25.000, diskon 25% untuk pembelian kedua.",shampoo,rp 25.000,diskon 25%,
"conditioner yang melembutkan rambut ini dijual dengan harga rp 30.000, promo buy 2 get 1 free.",conditioner,rp 30.000,,
mau beli parfum buat konser di shopee lagi ada diskon jadi 100 ribu.,parfum,100 ribu,,shopee
baju tidur piyama dengan potongan harga 10% di zalora.,baju,,potongan harga 10%,zalora
kemeja lengan panjang dengan harga promo rp 180.000 di jd.id.,kemeja,rp 180.000,,jd.id
aku dapet tiket pesawat promo ke bali seharga rp 1.000.000 di traveloka.,tiket pesawat,rp 1.000.000,,traveloka
sabun mandi dengan harga promo rp 10.000 di watsons.,sabun,rp 10.000,,watsons
bros perak dengan harga rp 500.000 di perhiasan klasik.,bros,rp 500.000,,perhiasan klasik
botol susu bayi dengan potongan harga 15% di matahari,botol susu,,potongan harga 15%,matahari
"saya baru saja membeli mobil baru, sebuah sedan dengan mesin yang efisien dengan harga sekitar 200 juta rupiah",mobil,200 juta,,
saya senang menggunakan sepeda gunung untuk berpetualang dengan harga sekitar 5 juta rupiah.,sepeda,5 juta,,
saya sangat puas dengan kualitas skuter elektrik merek lokal yang saya beli dengan harga sekitar 10 juta rupiah,skuter,10 juta,,
stroller dengan harga rp 150.000 di apotek kimia farma.,stroller,rp 150.000,,apotek kimia farma
gendongan bayi dengan diskon 10% di jd.id.,gendongan bayi,,diskon 10%,jd.id
mainan kucing dengan harga promo rp 30.000 di blibli.,mainan kucing,rp 30.000,,blibli
"kertas minyak untuk mengontrol minyak berlebih di wajah ini dijual dengan harga rp 10.000, diskon 50% untuk pembelian kedua.",kertas minyak,rp 10.000,diskon 50%,
"masker wajah dalam berbagai varian ini dijual dengan harga rp 30.000 per lembar, promo beli 5 gratis 2.",masker wajah,rp 30.000,,
lagi pengen deh beli topi adidas di shopee... 210rb worth it gak yaa?,topi,210rb,,shopee
pengen dapet tiket konser coldplay festival tapi harganya udah 10jt++ huhu,tiket konser,10jt++,,
di gojek lagi ada promo mcd tuh 1 ayam 1 nasi jadi cuman 35rb,mcd,35rb,,gojek
hai aku laig pengen beli iphone 13 di harga 13 juta murah ga ya?,iphone 13,13 juta,,
abis nonton video fitra eri sama om mobi jadi tertarik sama avanza veloz deh tapi cuma mampu beli second..,avanza ,,,
pengen beli tiket ke bali harganya 2.5jt worth it ga sih?,tiket,2.5jt,,
minggu depan mau ke jogja naik kereta 600rb lagi mahal deh kayaknya,kereta,600rb,,
mending aku beli sabun cair lifebuoy yg beli 1 gratis 1 dengan harga 32.500 di tokopedia ga sih..?,sabun,32.5,,tokopedia
motor murah tipe matic bikinan suzuki mesin 125 cc bagasi muat 2 helm harga tidak sampai rp 20 juta,motor,rp 20 juta,,
kemarin di mall ngeliat kemeja koko beli 1 gratis 1 total harga 370rb.. cuan sih,kemeja,370rb,,mall
lagi pengen beli flanel di mall harganya lagi diskon 30% jadi 280rb,flanel,280rb,diskon 30%,mall
tertarik beli sabun mandi nuvoo lagi diskon 8% di tokopedia,sabun,,diskon 8%,tokopedia
asli deh sabun watsons di tokopedia cuma 39800 beli kali ya,sabun,39800,,tokopedia
mau refill sabun dettol di tokopedia harganya 20rb an,sabun,20rb an,,tokopedia
kojie san face lightening cream yg 30 g worth it gak 50k?,face,50k,,
lucuu ada sabun jerawat di tokped 130ribu pengen beli tapi uang sekaratt,sabun,130ribu,,tokped
sabun pyary nalpamara original itu bagus ga yaa? 22ribuan diaa,sabun,22ribuan,,
"eh ada sabun asepso promo dari 32ribu jadi 28 ribu, diskon 15%, gue beli ga ya tapi tokped",sabun,28 ribu,diskon 15%,tokped
"guys sabun sensatia botanicals lagi diskon 25% tuh jadi 180ribu, gas beli",sabun,180ribu,diskon 25%,
"wow parfum armaf club de nuit lg diskon dari 2.5 juta diskon jadi sejuta doang, 57% diskon!",parfum,2.5 juta,,
hmns perfume yg 100 ml worth it gak kalau 320.000,perfume,320.000,,
parfum kahf itu yang warna biru oke ga? lagi diskon 3 persen,parfum,,,
mau beli project 1945 yang parfum the great batavia itu tpi mahal bgt 275000,parfum,275000,,
sari ayu tanjung body perfume itu enak ga? yang 29ribu,perfume,29ribu,,
zwitsal punya perfume eau de toilette di tokopedia wkwkkw lucu,perfume,,,tokopedia
bjorka perfume lg promo beli 10 dapet 3 dengan harga 39900,perfume,39900,,
mending beli parfum bermerek tapi 2jutaan atau yang biasa aja ya?,parfum,2jutaan,,
parfum thailand 35 ml cuma 5ribu di tokopedia cuan ga?,parfum,5ribu,,tokopedia
parfum onix gratitude dengan harga 197rb enak ,parfum,197rb,,
"akhir bulan gini tiba tiba pengen ganti mobil tapi di rekening sisa 71rb ke mana ya, sederhana saja :)",mobil,71rb,,
aku ingin membeli sepatu olahraga nike air max. harganya sekitar 1.000.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,sepatu,1.000.000,diskon sebesar 20%,tokopedia
saya sedang mencari laptop asus rog. harganya sekitar 15.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 10%.,laptop,15.000.000,diskon sebesar 10%,shopee
teman saya ingin membeli ponsel samsung galaxy s21. harganya sekitar 10.000.000 rupiah di mal setelah mendapatkan diskon sebesar 15%.,ponsel,10.000.000,diskon sebesar 15%,mal
aku berencana membeli baju di tokopedia. harganya sekitar 500.000 rupiah setelah mendapatkan diskon sebesar 30%.,baju,500,diskon sebesar 30%,tokopedia
saya ingin membeli laptop dell xps 13. harganya sekitar 20.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 5%.,laptop,20.000.000,diskon sebesar 5%,shopee
aku mencari blender merk philips. harganya sekitar 700.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,blender,700.000,diskon sebesar 25%,mal
saya ingin membeli beras di supermarket. harganya sekitar 50.000 rupiah per kilogram setelah mendapatkan diskon sebesar 10%.,beras,50.000,diskon sebesar 10%,supermarket
teman saya tertarik membeli televisi samsung 55 inci. harganya sekitar 8.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,televisi,8.000.000,diskon sebesar 15%,shopee
aku ingin membeli headset wireless sony wh0000xm4. harganya sekitar 3.000.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,headset,3.000.000,diskon sebesar 20%,tokopedia
saya mencari printer canon pixma. harganya sekitar 1.500.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,printer,1.500.000,diskon sebesar 10%,mal
aku ingin membeli baju kaos polos. harganya sekitar 100.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,baju,100.000,diskon sebesar 20%,mal
saya sedang mencari koper ukuran besar. harganya sekitar 500.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,koper,500.000,diskon sebesar 10%,tokopedia
teman saya ingin membeli sepatu boots. harganya sekitar 400.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,sepatu,400.000,diskon sebesar 15%,shopee
aku berencana membeli baju gamis untuk lebaran. harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,baju,300.000,diskon sebesar 25%,mal
saya ingin membeli tas ransel dengan banyak kantong. harganya sekitar 200.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 30%.,tas ransel,200.000,,tokopedia
aku mencari sepatu sneakers merk adidas. harganya sekitar 800.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,sepatu,800.000,diskon sebesar 10%,mal
saya ingin membeli mainan anak-anak di supermarket. harganya sekitar 50.000 rupiah setelah mendapatkan diskon sebesar 15%.,mainan,50.000,diskon sebesar 15%,supermarket
teman saya tertarik membeli baju renang. harganya sekitar 150.000 rupiah di shopee setelah mendapatkan diskon sebesar 20%.,baju,150.000,diskon sebesar 20%,shopee
aku ingin membeli perlengkapan olahraga seperti matras yoga. harganya sekitar 250.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,matras ,250.000,diskon sebesar 10%,tokopedia
saya mencari sepatu sandal jepit merek havaianas. harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,sepatu,300.000,diskon sebesar 20%,mal
aku ingin membeli buku novel terbaru. harganya sekitar 150.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 5%.,buku,150.000,diskon sebesar 5%,tokopedia
saya sedang mencari alat tulis seperti pensil warna. harganya sekitar 20.000 rupiah di supermarket setelah mendapatkan diskon sebesar 10%.,alat tulis,20.000,diskon sebesar 10%,supermarket
teman saya ingin membeli baju tidur yang nyaman. harganya sekitar 100.000 rupiah di mal setelah mendapatkan diskon sebesar 15%.,baju,100.000,diskon sebesar 15%,mal
aku berencana membeli kacamata hitam. harganya sekitar 80.000 rupiah di shopee setelah mendapatkan diskon sebesar 20%.,kacamata,80.000,diskon sebesar 20%,shopee
saya ingin membeli buku di supermarket. harganya sekitar 500.000 rupiah setelah mendapatkan diskon sebesar 5%.,buku,500.000,diskon sebesar 5%,supermarket
teman saya tertarik membeli baju kemeja. harganya sekitar 200.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,baju,200.000,diskon sebesar 10%,mal
aku ingin membeli baju renang untuk anak-anak. harganya sekitar 80.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,baju,80.000,diskon sebesar 15%,shopee
saya sedang mencari tas selempang yang praktis. harganya sekitar 150.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,tas selempang,150.000,diskon sebesar 20%,tokopedia
aku berencana membeli pakaian dalam. harganya sekitar 30.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,pakaian,30.000,diskon sebesar 25%,mal
saya ingin membeli mainan edukatif untuk anak-anak di supermarket. harganya sekitar 100.000 rupiah setelah mendapatkan diskon sebesar 10%.,mainan ,100.000,diskon sebesar 10%,supermarket
teman saya tertarik membeli baju muslimah. harganya sekitar 150.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,baju,150.000,diskon sebesar 15%,shopee
aku ingin membeli tas ransel dengan banyak kompartemen. harganya sekitar 200.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,tas,200.000,diskon sebesar 20%,mal
saya mencari sepatu sneakers merk converse. harganya sekitar 600.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,sepatu,600.000,diskon sebesar 10%,tokopedia
aku ingin membeli kamera saku untuk perjalanan. harganya sekitar 1.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 5%.,kamera,1.000.000,diskon sebesar 5%,shopee
