Text,Product_Name,Promotion_Type,Marketplace_Name
"saya baru saya memesan dua tiket nonton seharga 100 ribu, mahal karena weekend",tiket nonton,,
saya ingin mencoba untuk pre-order game terbaru karena dapat bonus item eksklusif,game,,
pgn beli cardi crop karena harganya murah banget cuma 40 ribu di tiktok shop,cardi,,tiktok shop
pgn beli liptint rose all day,liptint,,
pengen beli headset deh gak enak bgt yg nyala cuma satu doang,headset,,
"lg suka ngefoto foto trs ngide pgn beli kamera. mau tau harganya dong
",kamera,,
mau beli handphone baru tapi bingung yang bagus apa,handphone,,
baru keracunan beli baju seharga 100 ribu padahal ga butuh-butuh bgt,baju,,
pengen beli skin tint baru tapi dibawah 100 ribu,skin tint,,
"pgn beli dress super lucu tapi po 4weeks dan harganya 350 ribu :)
",dress,,
abis shopeefood mcd karena laper banget dan abis 80 ribu :(,mcd,,
ngidam makan lawson karena ada diskon 5.5 di gojek dan cuma abis 50k buat 3 odeng,odeng,,gojek
impulsive banget abis beli tiket nonton badminton 3 hari berturut-turut tp cuma abis 100k,tiket nonton,,
kepikiran pgn beli ipad tp hbs ini juga udh gk kuliah yg full matkul jadi ywd buat apa,ipad,,
pengen hidup sehat dan pas banget dapet voucher di tiktok shop akhirnya beli blender seharga 150k,blender,,tiktok shop
ada diskon 30% untuk minyak karena lagi ada payday sale,minyak,diskon 30%,
info harga motor mio,harga,,
mau beli mobil avanza second budget 200 jt,mobil avanza,,
abis beli obat kutu kucing yang harganya 150k,obat kutu kucing,,
pengen beli foundation tapi harganya 120k,foundation,,
aku baru saja membeli lipstik merah yang cantik karena ada promo buy 1 get 1,lipstik,,
ada diskon 20% untuk semua produk maskara minggu ini,maskara,diskon 20%,
concealer dengan harga promo hanya rp 75.000 untuk pembelian hari ini,concealer,,
saya coba beli sayuran di allofresh dan dapat diskon 20% dan hanya menghabiskan 35k,sayuran,diskon 20%,allofresh
"kemarin saya coba beli es krim di baskin robbins dan harganya 125k, sangat mahal",es krim,,baskin robbins
kemarin siang saya beli paket makan siang dengan harga promo rp 20.000 di restoran padang sederhana.,makan siang,,restoran padang sederhana
saya beli indomie 1 dus di tokopedia karena sedang ada diskon 50%,indomie,diskon 50%,tokopedia
saya beli minyak kayu putih dengan harga rp 20.000 di tokopedia,minyak kayu putih,,
maskara waterproof ini memiliki harga rp 80.000 beli 1 gratis 1,maskara,,
eyeshadow palette dengan berbagai warna vibrant dijual seharga rp 150.000,eyeshadow,,
foundation matte yang tahan lama gratis pengiriman untuk pembelian di atas rp 200.000.,foundation,,
"bedak tabur dengan tekstur halus ini memiliki harga rp 75.000, promo buy 2 get 1 free.",bedak,,
blush on dalam warna natural ini dijual dengan harga rp 60.000 diskon 15% untuk pembelian online.,blush on,,
"pensil alis tahan air ini dijual dengan harga rp 30.000, promo beli 3 gratis 1.",pensil alis,,
"pengen beli rok dengan desain motif bunga harga rp 100.000 di tokopedia.
",rok,,tokopedia
kemarin saya beli obat batuk di online cuma 30k karena dapat diskon 10%.,obat batuk,diskon 10%,online
celana jeans slim fit dengan potongan harga 20% saat pembelian di zalora.,celana jeans,harga 20%,zalora
saya beli vitamin c dengan diskon 20% di jd.id dan dapat harga 10 ribu untuk 3pcs,vitamin c,diskon 20%,jd.id
"toner dengan kandungan bahan alami ini dijual dengan harga rp 55.000, promo buy 1 get 1 free.",toner,,
"serum wajah yang menghidrasi ini dijual dengan harga rp 120.000, diskon 15% untuk pembelian lebih dari rp 150.000.",serum,diskon 15%,
"losion tubuh dengan aroma floral ini dijual dengan harga rp 40.000, promo beli 2 dapatkan diskon 20% untuk produk mandi.",losion,diskon 20%,
sepatu sneakers hitam dengan harga promo rp 300.000 di jd.id.,sepatu sneakers,,jd.id
hari ini saya beli vitamin d dengan harga promo rp 80.000 di apotek century.,vitamin d,,apotek century
obat alergi dengan diskon 10% di watsons.,obat alergi,diskon 10%,
"sabun wajah dengan kandungan alami ini dijual dengan harga rp 35.000, diskon 10% untuk pembelian online.",sabun,diskon 10%,
"krim malam yang menghidrasi ini dijual dengan harga rp 80.000, promo beli 1 dapatkan potongan harga 50% untuk produk perawatan mata.",krim,potongan harga 50%,
saya beli sandal gunung dengan diskon 10% di lazada.,sandal gunung,,lazada
saya rencana ingin liburan ke luar negeri dan beli koper lipat dengan harga promo rp 200.000 di tokopedia.,koper,,tokopedia
"eyeliner tahan air ini dijual dengan harga rp 25.000, diskon 15% untuk pembelian lebih dari rp 50.000",eyeliner,diskon 15%,
"pelembab bibir dengan spf 15 ini dijual dengan harga rp 20.000, promo beli 2 dapatkan diskon 10%.",pelembab,diskon 10%,
saya baru saya membeli sisir seharga 50 ribu,sisir,,
"kuas makeup yang lembut ini dijual dengan harga rp 35.000, diskon 20% untuk pembelian online.",kuas makeup,diskon 20%,
mau beli tiket konser rv tapi harganya 5 juta,tiket konser,,
mau beli sleeping bag dengan harga promo rp 350.000 di blibli.,sleeping bag,,blibli
"tisu pembersih wajah yang praktis ini dijual seharga rp 25.000, promo buy 2 get 1 free.",tisu,,
"pengen beli totebag dengan diskon 15% di matahari department store dengan harga 1.2 juta
",totebag,,matahari
aku nemu dress cantik dengan harga rp 250.000 di shopee.,dress,,shopee
ada promo buy 1 get 1 di domino pizza cuma 125 ribu,pizza,,domino pizza
ada topi warna emerald dengan harga diskon rp 50.000 di blibli,topi,,blibli
kemarin lihat jam tangan analog cakep bgt harganya 500 ribu tapi,jam tangan,,
rok plisket dengan harga diskon rp 200.000 di tokopedia.,rok,,tokopedia
"ada penawaran khusus, beli pensil alis dan dapatkan maskara dengan harga diskon 50%",pensil alis,,
celana panjang casual dengan diskon 25% di matahari department store harganya jadi 75k aja,celana panjang,diskon 25%,matahari
"ada sweater rajut hangat dengan harga rp 150.000 di shopee, beli ga ya?",sweater,,shopee
lagi ada trend di tiktok makanan seblak langsung jadi dan harganya cuma 25k,seblak,,tiktok
kemarin saya beli kopi dengan harga 50k,kopi,,
saya beli masker kesehatan dengan harga rp 5.000 per box di guardian.,masker kesehatan,,guardian
dapatkan sabun wajah gratis untuk pembelian produk perawatan kulit di atas rp 200.000,sabun,,
blush on dalam warna peach ini sedang dalam promo beli 2 gratis 1,blush on,beli 2 gratis 1,
toner dengan bahan alami ini dijual dengan harga spesial rp 80.000.,toner,,
saya beli dompet paspor dengan diskon 10% di shopee.,dompet paspor,diskon 10%,shopee
saya beli alat pijat punggung untuk kakek saya dengan harga promo rp 300.000 di blibli.,alat pijat,,blibli
tolong info harga obat pereda nyeri ,obat,,
tas kabin dengan harga promo rp 300.000 di blibli.,tas kabin,,blibli
power bank portabel dengan potongan harga 15% di jd.id.,power bank,potongan harga 15%,jd.id
info harga tiket kereta api ke jogja,tiket kereta api,,
lipstik merah  diskon 20% dan dijual dengan harga rp 50.000,lipstik,diskon 20%,
saya beli di burger ayam dengan potongan harga 15% di burger king.,burger,potongan harga 15%,burger king
kemarin saya nemu teh hijau dengan diskon 25% di shopee.,teh,diskon 25%,shopee
saya ingin makan salmon dengan harga rp 30.000 per porsi di sushi tei.,salmon,,sushi tei
susu bayi dengan harga rp 100.000 per botol di apotek kimia farma.,susu bayi,,apotek kimia farma
pakaian bayi dengan diskon 20% di jd.id,pakaian bayi,diskon 20%,jd.id
beli bantal duduk dengan harga promo rp 50.000 di tokopedia.,beli bantal duduk,,tokopedia
roti tawar dengan harga rp 5.000 per bungkus di indomaret,roti tawar,,indomaret
beli obat kutu kucing seharga 150 ribu,obat kutu kucing,,
saya beli kompas dengan potongan harga 15% di shopee.,kompas,potongan harga 15%,shopee
beli tenda dengan harga rp 250.000 di jd.id.,tenda,,jd.id
es teh manis dengan diskon 10% di teh poci.,es teh,diskon 10%,teh poci
"spons beauty dengan tekstur lembut ini dijual dengan harga rp 15.000, promo beli 2 gratis 1.",spons,,
"eyeshadow dengan harga rp 50.000, diskon 10% untuk pembelian selama weekend.",eyeshadow,diskon 10%,
ayam goreng crispy dengan harga promo rp 35.000 di kfc.,ayam goreng,,kfc
tempat tidur bayi dengan diskon 25% di shopee.,tempat tidur bayi,diskon 25%,shopee
stroller dengan harga promo rp 500.000 di baby shop.,stroller,,baby shop
kemarin saya tiba tiba beli cincin berlian dengan harga rp 10.000.000 di mall,cincin,,mall
anting emas dengan diskon 20% di jd.id jadi hanya 300 ribu,anting,diskon 20%,jd.id
saya beli popok sekali pakai dengan diskon 10% di guardian untuk adik saya,popok,diskon 10%,guardian
jam tangan pria dengan diskon 10% di mall,jam tangan,diskon 10%,mall
botol susu dengan harga rp 20.000 per botol di guardian.,botol susu,,guardian
set perhiasan berlian dengan harga promo rp 25.000.000 di perhiasan eksklusif.,berlian,,perhiasan eksklusif
kereta dorong bayi dengan harga promo rp 300.000 di blibli.,kereta dorong,,blibli
cincin emas dengan diskon 10% di shopee.,cincin,diskon 10%,
saya beli mobil baru seharga 150 juta,mobil,,
mainan kucing dengan diskon 15% di jd.id murah hanya 40k,mainan kucing,diskon 15%,jd.id
pengen beli speaker bluetooth dengan harga promo rp 500.000 di tokopedia,speaker bluetooth,,tokopedia
makanan bayi dengan diskon 15% di toko,makanan bayi,diskon 15%,toko
"krim mata untuk mengurangi kerutan ini dijual dengan harga rp 60.000, diskon 20% untuk anggota member.",krim mata,,
"pewarna kuku dalam berbagai warna ini dijual dengan harga rp 15.000 per botol, promo beli 3 gratis 1.",pewarna kuku,,
gaming console dengan harga promo rp 4.000.000 di tokopedia,console,,tokopedia
earphone dengan potongan harga 15% di jd.id.,earphone,potongan harga 15%,jd.id
air purifier dengan diskon 10% di shopee jadi hanya 80ribu,air purifier,diskon 10%,shopee
smartwatch dengan harga promo rp 1.000.000 di tiktok shop,smartwatch,,tiktok shop
kacamata dengan harga promo rp 100.000 di watsons.,kacamata,,watsons
alat pengukur suhu tubuh dengan potongan harga 15% di matahari ,alat pengukur suhu,potongan harga 15%,matahari
saya ingin beli motor yang harganya dibawah 20 juta,motor,,
sepeda lipat dengan harga promo rp 1.000.000 di tokopedia.,sepeda,,tokopedia
saya kemarin beli mie gacoan di shopeefood hanya 35 ribu,mie,,shopeefood
saya sedang memikirkan ayam goreng spesial yang dijual dengan harga promo rp 25.000 di shopeefood apakah sebaiknya saya membelinya?,ayam goreng,,shopeefood
saya sedang memikirkan nasi goreng spesial yang dijual dengan harga promo rp 25.000 di gojek. apakah sebaiknya saya membelinya?,nasi goreng,,gojek
"ada paket tur ke pulau komodo dengan harga promo, hanya 3 juta untuk satu orang. sebaiknya saya ikut tur tersebut atau mencari opsi lain?",paket tur,,
mobil sedan dengan harga rp 200.000.000 di dealer mobil a.,mobil sedan,,dealer mobil 
saya ingin membeli mesin cuci dengan harga rp 3.000.000 di tokopedia,mesin cuci,,tokopedia
motor sport dengan diskon 10% di dealer motor b.,motor sport,diskon 10%,dealer motor 
"liat tetangga beli sepeda baru jadi pengen, tapi cuma ada uang 3 juta",sepeda,,
beli tablet di shopee apakah worth it? ada diskon 30% jadi 9 juta aja,tablet,diskon 30%,shopee
mobil suv dengan potongan harga 15% di dealer mobil x.,mobil suv,potongan harga 15%,dealer mobil
pengen beli concealer karena lg ada diskon 25% di tiktok shop ,concealer,diskon 25%,tiktok shop
lip balm dengan aroma buah-buahan ini dijual dengan harga rp 20.000 dan diskon 30% karena grand opening.,lip balm,,
"pelembab wajah dengan spf 30 ini dijual dengan harga rp 90.000, dapat diskon 50% dari harga awal.",pelembab,diskon 50%,
"scrub wajah yang lembut ini dijual seharga rp 45.000, diskon 10% untuk pembelian selama jam kerja.",scrub,,
anak udah mau gede jadi butuh beli stroller tapi cuma ada budget 1 juta,stroller,,
tengah malem laper banget jadi pengen beli kopi,kopi,,
pegel pegel abis wfo seharian lgsg beli koyo merah di watson dan dapet diskon 10% jadi cuma 15 ribu,koyo merah,,watson
saya beli anting berlian dengan harga promo rp 3.000.000 di jd.id.,anting,,jd.id
gelang emas dengan potongan harga 20% di butik perhiasan y.,gelang,potongan harga 20%,butik
apakah sebaiknya saya membeli baju baru untuk acara pernikahan yang akan datang?,baju,,
mau beli susu bayi dengan harga rp 150.000 di shopee,susu ,,shopee
baju hamil dengan potongan harga 15% di matahari department store.,baju hamil,potongan harga 15%,matahari
perlengkapan makan bayi dengan harga promo rp 50.000 di tokopedia,perlengkapan makan,,tokopedia
carseat bayi dengan diskon 25% di shopee.,carseat,diskon 25%,shopee
"kemarin nyium orang pake parfum enak banget dan barusan nemu di mall yang sama wanginya, harganya 150k beli ga ya?",parfum,,mall
"shampoo untuk rambut kering ini dijual dengan harga rp 25.000, diskon 25% untuk pembelian kedua.",shampoo,diskon 25%,
"conditioner yang melembutkan rambut ini dijual dengan harga rp 30.000, promo buy 2 get 1 free.",conditioner,,
mau beli parfum buat konser di shopee lagi ada diskon jadi 100 ribu.,parfum,,shopee
baju tidur piyama dengan potongan harga 10% di zalora.,baju,potongan harga 10%,zalora
kemeja lengan panjang dengan harga promo rp 180.000 di jd.id.,kemeja,,jd.id
aku dapet tiket pesawat promo ke bali seharga rp 1.000.000 di traveloka.,tiket pesawat,,traveloka
sabun mandi dengan harga promo rp 10.000 di watsons.,sabun,,watsons
bros perak dengan harga rp 500.000 di perhiasan klasik.,bros,,perhiasan klasik
botol susu bayi dengan potongan harga 15% di matahari,botol susu,potongan harga 15%,matahari
"saya baru saja membeli mobil baru, sebuah sedan dengan mesin yang efisien dengan harga sekitar 200 juta rupiah",mobil,,
saya senang menggunakan sepeda gunung untuk berpetualang dengan harga sekitar 5 juta rupiah.,sepeda,,
saya sangat puas dengan kualitas skuter elektrik merek lokal yang saya beli dengan harga sekitar 10 juta rupiah,skuter,,
stroller dengan harga rp 150.000 di apotek kimia farma.,stroller,,apotek kimia farma
gendongan bayi dengan diskon 10% di jd.id.,gendongan bayi,diskon 10%,jd.id
mainan kucing dengan harga promo rp 30.000 di blibli.,mainan kucing,,blibli
"kertas minyak untuk mengontrol minyak berlebih di wajah ini dijual dengan harga rp 10.000, diskon 50% untuk pembelian kedua.",kertas minyak,diskon 50%,
"masker wajah dalam berbagai varian ini dijual dengan harga rp 30.000 per lembar, promo beli 5 gratis 2.",masker wajah,,
lagi pengen deh beli topi adidas di shopee... 210rb worth it gak yaa?,topi,,shopee
pengen dapet tiket konser coldplay festival tapi harganya udah 10jt++ huhu,tiket konser,,
di gojek lagi ada promo mcd tuh 1 ayam 1 nasi jadi cuman 35rb,mcd,,gojek
hai aku laig pengen beli iphone 13 di harga 13 juta murah ga ya?,iphone 13,,
abis nonton video fitra eri sama om mobi jadi tertarik sama avanza veloz deh tapi cuma mampu beli second..,avanza ,,
pengen beli tiket ke bali harganya 2.5jt worth it ga sih?,tiket,,
minggu depan mau ke jogja naik kereta 600rb lagi mahal deh kayaknya,kereta,,
mending aku beli sabun cair lifebuoy yg beli 1 gratis 1 dengan harga 32.500 di tokopedia ga sih..?,sabun,,tokopedia
motor murah tipe matic bikinan suzuki mesin 125 cc bagasi muat 2 helm harga tidak sampai rp 20 juta,motor,,
kemarin di mall ngeliat kemeja koko beli 1 gratis 1 total harga 370rb.. cuan sih,kemeja,,mall
lagi pengen beli flanel di mall harganya lagi diskon 30% jadi 280rb,flanel,diskon 30%,mall
tertarik beli sabun mandi nuvoo lagi diskon 8% di tokopedia,sabun,diskon 8%,tokopedia
asli deh sabun watsons di tokopedia cuma 39800 beli kali ya,sabun,,tokopedia
mau refill sabun dettol di tokopedia harganya 20rb an,sabun,,tokopedia
kojie san face lightening cream yg 30 g worth it gak 50k?,face,,
lucuu ada sabun jerawat di tokped 130ribu pengen beli tapi uang sekaratt,sabun,,tokped
sabun pyary nalpamara original itu bagus ga yaa? 22ribuan diaa,sabun,,
"eh ada sabun asepso promo dari 32ribu jadi 28 ribu, diskon 15%, gue beli ga ya tapi tokped",sabun,diskon 15%,tokped
"guys sabun sensatia botanicals lagi diskon 25% tuh jadi 180ribu, gas beli",sabun,diskon 25%,
"wow parfum armaf club de nuit lg diskon dari 2.5 juta diskon jadi sejuta doang, 57% diskon!",parfum,,
hmns perfume yg 100 ml worth it gak kalau 320.000,perfume,,
parfum kahf itu yang warna biru oke ga? lagi diskon 3 persen,parfum,,
mau beli project 1945 yang parfum the great batavia itu tpi mahal bgt 275000,parfum,,
sari ayu tanjung body perfume itu enak ga? yang 29ribu,perfume,,
zwitsal punya perfume eau de toilette di tokopedia wkwkkw lucu,perfume,,tokopedia
bjorka perfume lg promo beli 10 dapet 3 dengan harga 39900,perfume,,
mending beli parfum bermerek tapi 2jutaan atau yang biasa aja ya?,parfum,,
parfum thailand 35 ml cuma 5ribu di tokopedia cuan ga?,parfum,,tokopedia
parfum onix gratitude dengan harga 197rb enak ,parfum,,
"akhir bulan gini tiba tiba pengen ganti mobil tapi di rekening sisa 71rb ke mana ya, sederhana saja :)",mobil,,
aku ingin membeli sepatu olahraga nike air max. harganya sekitar 1.000.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,sepatu,diskon sebesar 20%,tokopedia
saya sedang mencari laptop asus rog. harganya sekitar 15.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 10%.,laptop,diskon sebesar 10%,shopee
teman saya ingin membeli ponsel samsung galaxy s21. harganya sekitar 10.000.000 rupiah di mal setelah mendapatkan diskon sebesar 15%.,ponsel,diskon sebesar 15%,mal
aku berencana membeli baju di tokopedia. harganya sekitar 500.000 rupiah setelah mendapatkan diskon sebesar 30%.,baju,diskon sebesar 30%,tokopedia
saya ingin membeli laptop dell xps 13. harganya sekitar 20.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 5%.,laptop,diskon sebesar 5%,shopee
aku mencari blender merk philips. harganya sekitar 700.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,blender,diskon sebesar 25%,mal
saya ingin membeli beras di supermarket. harganya sekitar 50.000 rupiah per kilogram setelah mendapatkan diskon sebesar 10%.,beras,diskon sebesar 10%,supermarket
teman saya tertarik membeli televisi samsung 55 inci. harganya sekitar 8.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,televisi,diskon sebesar 15%,shopee
aku ingin membeli headset wireless sony wh0000xm4. harganya sekitar 3.000.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,headset,diskon sebesar 20%,tokopedia
saya mencari printer canon pixma. harganya sekitar 1.500.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,printer,diskon sebesar 10%,mal
aku ingin membeli baju kaos polos. harganya sekitar 100.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,baju,diskon sebesar 20%,mal
saya sedang mencari koper ukuran besar. harganya sekitar 500.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,koper,diskon sebesar 10%,tokopedia
teman saya ingin membeli sepatu boots. harganya sekitar 400.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,sepatu,diskon sebesar 15%,shopee
aku berencana membeli baju gamis untuk lebaran. harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,baju,diskon sebesar 25%,mal
saya ingin membeli tas ransel dengan banyak kantong. harganya sekitar 200.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 30%.,tas ransel,,tokopedia
aku mencari sepatu sneakers merk adidas. harganya sekitar 800.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,sepatu,diskon sebesar 10%,mal
saya ingin membeli mainan anak-anak di supermarket. harganya sekitar 50.000 rupiah setelah mendapatkan diskon sebesar 15%.,mainan,diskon sebesar 15%,supermarket
teman saya tertarik membeli baju renang. harganya sekitar 150.000 rupiah di shopee setelah mendapatkan diskon sebesar 20%.,baju,diskon sebesar 20%,shopee
aku ingin membeli perlengkapan olahraga seperti matras yoga. harganya sekitar 250.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,matras ,diskon sebesar 10%,tokopedia
saya mencari sepatu sandal jepit merek havaianas. harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,sepatu,diskon sebesar 20%,mal
aku ingin membeli buku novel terbaru. harganya sekitar 150.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 5%.,buku,diskon sebesar 5%,tokopedia
saya sedang mencari alat tulis seperti pensil warna. harganya sekitar 20.000 rupiah di supermarket setelah mendapatkan diskon sebesar 10%.,alat tulis,diskon sebesar 10%,supermarket
teman saya ingin membeli baju tidur yang nyaman. harganya sekitar 100.000 rupiah di mal setelah mendapatkan diskon sebesar 15%.,baju,diskon sebesar 15%,mal
aku berencana membeli kacamata hitam. harganya sekitar 80.000 rupiah di shopee setelah mendapatkan diskon sebesar 20%.,kacamata,diskon sebesar 20%,shopee
saya ingin membeli buku di supermarket. harganya sekitar 500.000 rupiah setelah mendapatkan diskon sebesar 5%.,buku,diskon sebesar 5%,supermarket
teman saya tertarik membeli baju kemeja. harganya sekitar 200.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,baju,diskon sebesar 10%,mal
aku ingin membeli baju renang untuk anak-anak. harganya sekitar 80.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,baju,diskon sebesar 15%,shopee
saya sedang mencari tas selempang yang praktis. harganya sekitar 150.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,tas selempang,diskon sebesar 20%,tokopedia
aku berencana membeli pakaian dalam. harganya sekitar 30.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,pakaian,diskon sebesar 25%,mal
saya ingin membeli mainan edukatif untuk anak-anak di supermarket. harganya sekitar 100.000 rupiah setelah mendapatkan diskon sebesar 10%.,mainan ,diskon sebesar 10%,supermarket
teman saya tertarik membeli baju muslimah. harganya sekitar 150.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,baju,diskon sebesar 15%,shopee
aku ingin membeli tas ransel dengan banyak kompartemen. harganya sekitar 200.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,tas,diskon sebesar 20%,mal
saya mencari sepatu sneakers merk converse. harganya sekitar 600.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,sepatu,diskon sebesar 10%,tokopedia
aku ingin membeli kamera saku untuk perjalanan. harganya sekitar 1.000.000 rupiah di shopee setelah mendapatkan diskon sebesar 5%.,kamera,diskon sebesar 5%,shopee
saya sedang mencari alat tulis seperti pensil mekanik. harganya sekitar 10.000 rupiah di supermarket setelah mendapatkan diskon sebesar 10%.,alat tulis,diskon sebesar 10%,supermarket
teman saya ingin membeli baju anak-anak. harganya sekitar 80.000 rupiah di mal setelah mendapatkan diskon sebesar 15%.,baju,diskon sebesar 15%,mal
aku berencana membeli perhiasan seperti kalung. harganya sekitar 300.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,kalung,diskon sebesar 20%,tokopedia
aku berencana membeli perhiasan seperti cincin. harganya sekitar 300.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 15%.,cincin,diskon sebesar 15%,tokopedia
aku mencari sepatu casual yang nyaman. harganya sekitar 400.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,sepatu,diskon sebesar 25%,
saya ingin membeli pakaian bayi di supermarket. harganya sekitar 50.000 rupiah setelah mendapatkan diskon sebesar 20%.,pakaian bayi,diskon sebesar 20%,supermarket
teman saya tertarik membeli baju batik. harganya sekitar 150.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,baju,diskon sebesar 15%,shopee
aku ingin membeli tas tangan untuk acara formal. harganya sekitar 250.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,tas,diskon sebesar 10%,mal
saya sedang mencari sepatu sandal yang nyaman untuk berjalan jauh. harganya sekitar 150.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 20%.,sepatu,diskon sebesar 20%,tokopedia
aku berencana membeli piring bayi. harganya sekitar 100.000 rupiah di supermarket setelah mendapatkan diskon sebesar 25%.,piring bayi,diskon sebesar 25%,supermarket
saya ingin alat tulis harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,alat tulis,diskon sebesar 10%,mal
teman saya ingin membeli baju tidur yang hangat. harganya sekitar 80.000 rupiah di shopee setelah mendapatkan diskon sebesar 15%.,baju,diskon sebesar 15%,shopee
aku mencari sepatu boots dengan desain unik. harganya sekitar 500.000 rupiah di tokopedia setelah mendapatkan diskon sebesar 10%.,sepatu,diskon sebesar 10%,tokopedia
saya ingin membeli pizza dengan harga 50 ribu,pizza,,
teman saya tertarik membeli baju pesta. harganya sekitar 150.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,baju,diskon sebesar 10%,mal
